"Title,Schedule,Min,Mid,Max,Bottom,Top"
"Airport Manager - Senior,M-5,59.12,70.5,81.88,81.89,88.63"
"Airport Deputy Director,M-6,65.03,77.55,90.07,90.08,97.49"
"Assistant Chief Deputy Operating Officer,M-6,65.03,77.55,90.07,90.08,97.49"
"Business Services Analyst,M-2,44.41,52.97,61.52,61.53,66.59"
"Business Services Administrator,M-3,48.86,58.27,67.67,67.68,73.26"
"Business Services Manager,M-4,53.74,64.09,74.43,74.44,80.59"
"Business Services Manager - Senior,M-5,59.12,70.5,81.88,81.89,88.63"
"Business Services Assistant Deputy Director,M-6,65.03,77.55,90.07,90.08,97.49"
"Business Services Deputy Director,M-7,71.54,85.31,99.07,99.08,107.24"
"Business Services Deputy Director,M-7,71.54,85.31,99.07,99.08,107.24"
"Capital Projects Administrator,M-3,48.86,58.27,67.67,67.68,73.26"
"Capital Projects Manager,M-4,53.74,64.09,74.43,74.44,80.59"
"Capital Projects Manager - Senior,M-5,59.12,70.5,81.88,81.89,88.63"
"Community Development Analyst,M-2,44.41,52.97,61.52,61.53,66.59"
"Community Development Manager,M-3,48.86,58.27,67.67,67.68,73.26"
"Community Development Manager - Senior,M-5,59.12,70.5,81.88,81.89,88.63"
"Community Development Deputy Director,M-6,65.03,77.55,90.07,90.08,97.49"
"Crime Lab Manager,M-4,53.74,64.09,74.43,74.44,80.59"
"Crime Lab Manager - Senior,M-6,65.03,77.55,90.07,90.08,97.49"
"Crime Lab Deputy Director,M-7,71.54,85.31,99.07,99.08,107.24"
"Criminal Justice Analyst,M-1,40.39,48.16,55.92,55.93,60.54"
"Criminal Justice Administrator,M-2,44.41,52.97,61.52,61.53,66.59"
"Criminal Justice Manager,M-4,53.74,64.09,74.43,74.44,80.59"
"Criminal Justice Manager,M-4,53.74,64.09,74.43,74.44,80.59"
"Criminal Justice Manager - Senior,M-5,59.12,70.5,81.88,81.89,88.63"
"Criminal Justice Manager - Senior,M-5,59.12,70.5,81.88,81.89,88.63"
"Criminal Justice Manager - Senior,M-5,59.12,70.5,81.88,81.89,88.63"
"Criminal Justice Deputy Director,M-6,65.03,77.55,90.07,90.08,97.49"
"Criminal Justice Deputy Director,M-6,65.03,77.55,90.07,90.08,97.49"
"Criminal Justice Deputy Director,M-6,65.03,77.55,90.07,90.08,97.49"
"Development Services Administrator,M-3,48.86,58.27,67.67,67.68,73.26"
"Development Services Manager,M-5,59.12,70.5,81.88,81.89,88.63"
"Development Services Manager - Senior,M-6,65.03,77.55,90.07,90.08,97.49"
"Development Services Deputy Director,M-7,71.54,85.31,99.07,99.08,107.24"
"Emergency Management Analyst,M-2,44.41,52.97,61.52,61.53,66.59"
"Emergency Management Administrator,M-3,48.86,58.27,67.67,67.68,73.26"
"Emergency Manager,M-4,53.74,64.09,74.43,74.44,80.59"
"Emergency Manager - Senior,M-6,65.03,77.55,90.07,90.08,97.49"
"Emergency Management Deputy Director,M-7,71.54,85.31,99.07,99.08,107.24"
"Engineering Manager - Senior,M-6,65.03,77.55,90.07,90.08,97.49"
"Engineering Deputy Director,M-7,71.54,85.31,99.07,99.08,107.24"
"Fiscal Analyst,M-2,44.41,52.97,61.52,61.53,66.59"
"Fiscal Administrator,M-3,48.86,58.27,67.67,67.68,73.26"
"Fiscal Manager,M-4,53.74,64.09,74.43,74.44,80.59"
"Fiscal Manager - Senior,M-5,59.12,70.5,81.88,81.89,88.63"
"Fiscal Assistant Deputy Director,M-6,65.03,77.55,90.07,90.08,97.49"
"Fiscal Deputy Director,M-7,71.54,85.31,99.07,99.08,107.24"
"Health Services Analyst,M-2,44.41,52.97,61.52,61.53,66.59"
"Health Services Administrator,M-3,48.86,58.27,67.67,67.68,73.26"
"Health Services Manager,M-4,53.74,64.09,74.43,74.44,80.59"
"Health Services Manager - Senior,M-5,59.12,70.5,81.88,81.89,88.63"
"Health Services Assistant Deputy Director,M-6,65.03,77.55,90.07,90.08,97.49"
"Health Services Deputy Director,M-7,71.54,85.31,99.07,99.08,107.24"
"Human Resources Analyst,M-2,44.41,52.97,61.52,61.53,66.59"
"Human Resources Administrator,M-3,48.86,58.27,67.67,67.68,73.26"
"Human Resources Manager,M-4,53.74,64.09,74.43,74.44,80.59"
"Human Resources Manager - Senior,M-5,59.12,70.5,81.88,81.89,88.63"
"Human Resources Assistant Deputy Director,M-6,65.03,77.55,90.07,90.08,97.49"
